feature,importance
rolling_std_10,0.30732813
return_lag3,0.2625523
Close_lag3,0.21948326
range_ma_5,0.21063635
return_1,0.0
volume_ma_ratio,0.0
momentum_20,0.0
return_acceleration,0.0
momentum_change,0.0
volume_change,0.0
volume_ma_5,0.0
volume_ma_20,0.0
range_pct,0.0
volume_surge,0.0
momentum_5,0.0
range_change,0.0
range_expansion,0.0
close_position,0.0
price_to_ma5,0.0
price_to_ma10,0.0
consecutive_up,0.0
gap,0.0
momentum_10,0.0
volatility_ratio,0.0
volatility_change,0.0
hl_range,0.0
oc_change,0.0
Close_lag1,0.0
Close_lag2,0.0
Close_lag4,0.0
Close_lag5,0.0
Close_lag6,0.0
Close_lag7,0.0
Close_lag8,0.0
Close_lag9,0.0
Close_lag10,0.0
return_lag1,0.0
return_lag2,0.0
return_lag4,0.0
return_lag5,0.0
rolling_mean_5,0.0
rolling_std_5,0.0
rolling_std_20,0.0
gap_filled,0.0
